event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
NIG31067,2023-04-22,2023,1,Political violence,Battles,Armed clash,Military Forces of Nigeria (2015-),,1,Zamfara Communal Militia (Nigeria),,4,14,,566,Western Africa,Nigeria,Zamfara,Zurmi,,Dauran Birnin Tsaba,12.6821,6.7511,2,Daily Champion; Sun (Nigeria),National,"On 22 April 2023, troops of Operation Hadarin Daji engaged a Zamfara militia in an armed clash at Birnin Tsaba (Zurmi, Zamfara) coded Dauran Birnin Tsaba and other locations [coded separately]. Seven militiamen were killed, their camps were destroyed, seven motorcycles and other items were recovered. 7 fatalities split across 3 events coded as 3.",3,,1683041276
NIG31068,2023-04-22,2023,1,Political violence,Battles,Armed clash,Military Forces of Nigeria (2015-),,1,Zamfara Communal Militia (Nigeria),,4,14,,566,Western Africa,Nigeria,Zamfara,Zurmi,,Dumburum,12.7833,7.0,2,Daily Champion; Sun (Nigeria),National,"On 22 April 2023, troops of Operation Hadarin Daji engaged a Zamfara militia in an armed clash at Dumburum forest (Zurmi, Zamfara) and other locations [coded separately]. Seven militiamen were killed, their camps were destroyed, seven motorcycles and other items were recovered. 7 fatalities split across 3 events coded as 2.",2,,1683041276
NIG31069,2023-04-22,2023,1,Political violence,Battles,Armed clash,Military Forces of Nigeria (2015-),,1,Zamfara Communal Militia (Nigeria),,4,14,,566,Western Africa,Nigeria,Zamfara,Zurmi,,Zurmi,12.7776,6.7834,2,Daily Champion; Sun (Nigeria),National,"On 22 April 2023, troops of Operation Hadarin Daji engaged a Zamfara militia in an armed clash at Tsanu, Lamba, Gabas and Gidan Kaso in Zurmi LGA (Zamfara) and other locations [coded separately]. Seven militiamen were killed, their camps were destroyed, seven motorcycles and other items were recovered. 7 fatalities split across 3 events coded as 2.",2,,1683041276
NIG31095,2023-04-22,2023,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),APGA: All Progressives Grand Alliance Party,7,37,Civilian targeting,566,Western Africa,Nigeria,Enugu,Udi,,9th Mile,6.4269,7.4075,1,Daily Champion; Daily Independent (Nigeria),National,"Around 22 April 2023 (as reported), an unidentified armed group killed an APGA gubernatorial aspirant whose decomposing corpse was found at 9th Mile (Udi, Enugu). The victim had gone missing since 22 April, his vehicle and phone were also recovered.",1,,1683041276
NIG31100,2023-04-22,2023,1,Political violence,Riots,Mob violence,Rioters (Nigeria),,5,Rioters (Nigeria),,5,55,,566,Western Africa,Nigeria,Niger,Minna,,Minna,9.6139,6.5569,1,Daily Leadership (Nigeria),National,"On 22 April 2023, rioters clashed in Minna (Minna, Niger) following an Eid celebration that turned violent. One person was killed, several others were wounded and 37 persons were arrested by the police.",1,crowd size=no report,1683041276
MAA1585,2023-04-21,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Mauritania),Students (Mauritania),6,,,0,60,,478,Western Africa,Mauritania,Nouakchott,Tevragh-Zeina,,Nouakchott,18.0801,-15.9777,1,Al Akhbar (Mauritania),National,"On 21 April 2023, students held a protest sit-in at the university of Nouakchott (Tevragh-Zeina, Nouakchott) to denounce the closure of the university restaurant during the Aid holidays.",0,crowd size=no report,1682441196
MLI30000,2023-04-21,2023,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Dan Na Ambassagou,,4,24,,466,Western Africa,Mali,Mopti,Bankass,Diallassagou,Sokoro-Kanda,13.7494,-3.5576,1,Studio Tamani; Undisclosed Source,Local partner-Other,"On 21 April 2023, JNIM militants attacked and burned the Dan Na Ambassagou base in the village of Sokoro-Kanda (Bankass, Mopti). The militants also seized livestock and motorcycles. There were no casualties.",0,,1682441196
NIG31009,2023-04-21,2023,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),Danbare Communal Militia (Nigeria),7,37,Civilian targeting,566,Western Africa,Nigeria,Kano,Kumbotso,,Danbare,11.9477,8.4558,2,Daily Trust (Nigeria),National,"On 21 April 2023, an unidentified armed group killed the commander of a local defense militia after they lured him to a location at Kauyen Ta-inna (Kumbotso, Kano) coded to Danbare. The victim was invited to the location and offered a job before the assailants attacked and killed him.",1,,1682441196
NIR29949,2023-04-21,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,,2,Civilians (Niger),,7,27,Civilian targeting,562,Western Africa,Niger,Diffa,N'Guigmi,N'Guigmi,NGuigmi,14.2495,13.1092,1,Facebook,New media,"On 21 April 2023, overnight Boko Haram (JAS) militants abducted a man and a woman in the Cameroun quarter in the town of NGuigmi (N'Guigmi, Diffa).",0,,1682441197
BFO9682,2023-04-21,2023,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Burkina Faso (2022-),VDP: Volunteer for Defense of Homeland,1,12,,854,Western Africa,Burkina Faso,Centre-Est,Boulgou,Bittou,Zekeze,11.1867,-0.3949,1,Al Zallaqa; Facebook; Whatsapp,New media,"On 21 April 2023, presumed JNIM militants attacked a position of soldiers and volunteer fighters (VDP) in the village of Zekeze (Bittou, Boulgou). Three VDP and five militants were killed. One soldier (Officer) and some VDP were also injured. The militants seized an important amount of materiel. JNIM claimed responsibility and said it captured weapons, ammunition, and motorcycles.",8,,1683041275
GHA1763,2023-04-21,2023,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Ghana),,3,Civilians (Ghana),Muslim Group (Ghana),7,37,Civilian targeting,288,Western Africa,Ghana,Upper East,Bawku,,Bawku,11.05,-0.25,2,My Joy Online,National,"On 21 April 2023, an unidentified armed group attacked people celebrating Eid-Al-Fitr in Sakpere, coded to Bawku (Bawku, Upper East). 6 were killed, 4 died on the spot while 2 others died at the hospital.",6,,1683041275
NIG30960,2023-04-21,2023,1,Political violence,Battles,Armed clash,IPOB: Indigenous Peoples of Biafra,,2,Police Forces of Nigeria (2015-),,1,12,,566,Western Africa,Nigeria,Imo,Ngor Okpala,,Umuneke Ngor,5.3355,7.1518,2,CKN Nigeria; Daily Independent (Nigeria); Nigerian Eye; Sun (Nigeria),National,"On 21 April 2023, suspected IPOB militants attacked policemen at Okpala junction (Ngor Okpala, Imo) coded to Umuneke Ngor when they went to eat. 4 to 5 policemen and a civilian couple in whose shop two of the policemen had tried to hide were killed, the policemen's rifles were taken away. Other sources report that the attack was carried out as a reprisal for the raid of an IPOB hideout and the killing of an unspecified number of militants by the police the previous day. IPOB denied involvement in the clash and claimed that the pepertrators were paid criminals.",6,,1683041276
